"Y","Promo","Day","City"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
1,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
0,"A","Friday","Toronto"
